Symbol,Date,Open,High,Low,Close,Volume
GASF,20190308,7.75,7.75,7.51,7.62,52500
HGFA,20190308,9.01,9.35,9.01,9.35,13000
HIFA,20190308,3.75,4.00,3.75,4.00,11000
SINDM,20190308,0.00,6.00,6.00,6.00,500
FANM,20190308,3.61,3.61,3.60,3.60,1000
BRR,20190308,7.97,7.97,7.59,7.96,6000
FECM,20190308,2.37,2.48,2.37,2.48,3000
FEM,20190308,3.79,3.79,3.43,3.79,3000
FTMM,20190308,12.50,13.09,12.50,12.96,2500
ORM,20190308,9.40,9.40,9.40,9.40,3000
FNBM,20190308,1.31,1.31,1.15,1.30,20000
PAKMI,20190308,1.93,1.93,1.93,1.93,500
FUDLM,20190308,9.55,9.60,9.50,9.50,3500
OLPL,20190308,24.57,24.57,24.00,24.47,82500
SLL,20190308,2.50,2.50,2.50,2.50,2000
SLCL,20190308,6.00,6.00,5.50,5.83,123000
MCBAH,20190308,24.99,24.99,24.99,24.99,500
AHL,20190308,40.78,41.94,40.50,41.22,6500
AHCL,20190308,27.50,27.50,27.25,27.32,4500
ICIBL,20190308,1.21,1.24,1.19,1.22,52500
FDIBL,20190308,2.21,2.24,2.13,2.19,124500
JSCL,20190308,12.33,12.85,12.30,12.85,10000
NEXT,20190308,6.62,6.62,6.62,6.62,500
AMBL,20190308,8.50,8.75,8.31,8.59,7000
ESBL,20190308,17.75,17.75,17.20,17.75,443000
PSX,20190308,17.48,18.21,17.20,18.21,6619000
FCSC,20190308,1.54,1.54,1.46,1.48,84500
786,20190308,25.99,26.09,25.99,26.03,116500
DEL,20190308,2.78,3.01,2.78,3.01,1500
PASL,20190308,0.90,0.90,0.84,0.85,479000
ABL,20190308,110.16,110.16,110.00,110.00,67700
SMBL,20190308,0.76,0.79,0.75,0.78,7500
AKBL,20190308,21.90,21.99,21.01,21.10,348000
BAFL,20190308,47.66,47.77,46.50,46.62,268000
BIPL,20190308,11.40,11.49,11.40,11.49,1500
BOK,20190308,12.01,12.50,11.34,12.39,19000
BAHL,20190308,85.99,87.00,83.00,85.61,373000
BOP,20190308,13.89,13.91,13.71,13.86,6658500
FABL,20190308,23.50,23.50,23.00,23.00,21500
HBL,20190308,136.99,136.99,135.50,135.98,1112300
MEBL,20190308,100.01,105.98,98.10,101.58,274000
NBP,20190308,42.07,42.60,42.07,42.36,243500
HMB,20190308,40.06,40.50,40.00,40.44,45500
MCB,20190308,200.12,201.00,196.00,196.42,298900
SBL,20190308,5.45,6.44,5.45,6.44,1000
SILK,20190308,1.04,1.08,1.02,1.05,262000
SNBL,20190308,12.50,12.60,12.50,12.50,10000
SCBPL,20190308,24.50,24.50,24.50,24.50,2500
UBL,20190308,137.95,138.00,136.55,137.44,203600
AICL,20190308,43.16,44.40,43.16,43.50,5000
AGIC,20190308,26.00,26.20,26.00,26.20,1000
CYAN,20190308,28.61,29.15,28.61,29.15,3500
CENI,20190308,19.30,19.30,19.25,19.25,3000
JLICL,20190308,440.00,440.00,440.00,440.00,100
CSIL,20190308,2.25,2.25,1.96,1.99,176000
EFUG,20190308,110.00,112.00,109.00,110.00,16900
EFUL,20190308,197.00,197.00,197.00,197.00,100
IGIHL,20190308,196.03,205.00,196.03,205.00,400
ATIL,20190308,76.49,76.50,75.99,76.50,3500
PIL,20190308,1.60,1.63,1.60,1.60,13000
PKGI,20190308,3.91,4.39,3.91,4.24,52000
PAKRI,20190308,30.60,30.60,30.50,30.50,18500
PINL,20190308,5.34,5.69,5.11,5.33,10500
RICL,20190308,6.04,6.26,5.51,6.26,3500
UNIC,20190308,10.46,10.75,10.37,10.40,31000
AMTEX,20190308,0.84,0.91,0.81,0.90,54500
BILF,20190308,1.06,1.41,1.06,1.41,6500
CWSM,20190308,2.26,2.30,2.23,2.27,34000
HIRAT,20190308,4.00,4.07,4.00,4.07,25500
DFSM,20190308,2.16,2.16,2.00,2.01,7500
